"","names","transcript_id","cell_components_terms","mol_functions_terms","bio_process_terms","length"
"3783","Sc_g03610: Lipase, class 3","Sc_g03610"," integral component of membrane"," hydrolase activity","lipid metabolic process",3728
"3784","Sc_g03611: hypothetical protein PHYPA_021203","Sc_g03611","","","",234
"3785","Sc_g03612: reverse transcriptase","Sc_g03612","","RNA-directed DNA polymerase activity, nuclease activity"," RNA-dependent DNA biosynthetic process, DNA repair, nucleic acid phosphodiester bond hydrolysis",558
"3786","Sc_g03613: uncharacterized protein LOC112276709 isoform X2","Sc_g03613","","nucleic acid binding","",1134
"3787","Sc_g03614: expansin-A11-like","Sc_g03614","extracellular region, cell wall, membrane",""," plant-type cell wall organization",738
"3788","Sc_g03615: calcium-activated potassium channel slowpoke-like isoform X1","Sc_g03615"," voltage-gated potassium channel complex","voltage-gated potassium channel activity"," potassium ion transport, ion transmembrane transport",3701
"3789","Sc_g03616: Retrovirus-related Pol polyprotein from transposon TNT 1-94","Sc_g03616","","transferase activity","",492
"3790","Sc_g03617: thaumatin-like protein 1b","Sc_g03617","membrane, integral component of membrane","","",525
"3791","Sc_g03618: 2,4-dichlorophenol 6-monooxygenase isoform X1","Sc_g03618","","oxidoreductase activity, FAD binding","",2097
"3792","Sc_g03619: autophagy-related protein 18h-like","Sc_g03619","","protein binding","",2805
"3793","Sc_g03620: 40S ribosomal protein S2-like","Sc_g03620"," cytosolic small ribosomal subunit","RNA binding, structural constituent of ribosome"," translation",996
"3794","Sc_g03621: spindle assembly abnormal protein 6 homolog","Sc_g03621","","","",2718
"3795","Sc_g03622: V-type proton ATPase subunit d2","Sc_g03622"," vacuolar proton-transporting V-type ATPase complex, proton-transporting V-type ATPase, V0 domain"," proton-exporting ATPase activity, phosphorylative mechanism, proton-transporting ATPase activity, rotational mechanism","vacuolar transport, vacuolar acidification, ATP hydrolysis coupled proton transport",1339
"3796","Sc_g03623: hypothetical protein PHYPA_011292","Sc_g03623","plasma membrane","","",393
"3797","Sc_g03624: F-box/kelch-repeat protein At1g55270","Sc_g03624","","nucleic acid binding, protein binding, ATP binding","",1251
"3798","Sc_g03625: glutamate decarboxylase-like","Sc_g03625"," cytosol","glutamate decarboxylase activity, pyridoxal phosphate binding"," glutamate catabolic process",1957
"3799","Sc_g03625: glutamate decarboxylase-like","Sc_g03625"," cytosol","glutamate decarboxylase activity, pyridoxal phosphate binding"," glutamate catabolic process",2134
"3800","Sc_g03626: ribonuclease P protein subunit p25-like","Sc_g03626","","nucleic acid binding","",1267
"3801","Sc_g03626: ribonuclease P protein subunit p25-like protein","Sc_g03626","","nucleic acid binding","",1259
"3802","Sc_g03626: ribonuclease P protein subunit p25-like protein","Sc_g03626","","nucleic acid binding","",1369
"3803","Sc_g03627: biotin carboxylase 2, chloroplastic","Sc_g03627"," chloroplast stroma, chloroplast envelope","acetyl-CoA carboxylase activity, biotin carboxylase activity, ATP binding, metal ion binding"," fatty acid biosynthetic process, malonyl-CoA biosynthetic process",2030
"3804","Sc_g03628: Pleckstrin homology domain","Sc_g03628","","","",1705
"3805","Sc_g03629: protein translocase subunit SecA, chloroplastic","Sc_g03629"," chloroplast stroma, chloroplast envelope, membrane","ATP binding"," protein targeting, response to absence of light, chloroplast organization, trichome morphogenesis, regulation of photosynthesis, protein import",3431
"3806","Sc_g03630: phospholipase D alpha 1","Sc_g03630"," membrane","phospholipase D activity, calcium ion binding, N-acylphosphatidylethanolamine-specific phospholipase D activity"," lipid catabolic process, phosphatidylcholine metabolic process",2927
"3807","Sc_g03631: probable serine/threonine-protein kinase cdc7 isoform X1","Sc_g03631","","protein kinase activity, ATP binding"," protein phosphorylation",2887
"3808","Sc_g03632: Glycosyl transferase","Sc_g03632"," membrane","acetylglucosaminyltransferase activity","",588
"3809","Sc_g03633: 1-acyl-sn-glycerol-3-phosphate acyltransferase 1, chloroplastic","Sc_g03633"," endoplasmic reticulum, chloroplast envelope, integral component of membrane","1-acylglycerol-3-phosphate O-acyltransferase activity"," phosphatidic acid biosynthetic process, phosphatidylglycerol biosynthetic process, embryo development ending in seed dormancy",657
"3810","Sc_g03634: uncharacterized protein LOC112286129","Sc_g03634","membrane, integral component of membrane","","",630
"3811","Sc_g03635: oxalate--CoA ligase","Sc_g03635"," cytosol, plasmodesma, chloroplast stroma, apoplast","magnesium ion binding, drug binding, thiamine pyrophosphate binding, oxalate-CoA ligase activity"," response to cytokinin, positive regulation of seed germination, seed coat development, oxalate catabolic process, response to cadmium ion, defense response to fungus",2028
"3812","Sc_g03636: 2-oxoglutarate-iron(II)-dependent oxygenase","Sc_g03636","","oxidoreductase activity"," oxidation-reduction process",390
"3813","Sc_g03637: probable 2-oxoglutarate-dependent dioxygenase ANS","Sc_g03637","","oxidoreductase activity, metal ion binding, dioxygenase activity, jasmonic acid hydrolase"," oxidation-reduction process",477
"3814","Sc_g03638: flowering time control protein FPA-like isoform X1","Sc_g03638","","RNA binding","",4338
"3815","Sc_g03639: uncharacterized protein LOC112276348","Sc_g03639","cytosol, chloroplast stroma","","",720
"3816","Sc_g03640: ubiquitin carboxyl-terminal hydrolase 20-like isoform X2","Sc_g03640",""," thiol-dependent ubiquitinyl hydrolase activity","protein deubiquitination",2332
"3817","Sc_g03641: mitochondrial substrate carrier family protein E-like","Sc_g03641"," integral component of membrane"," transmembrane transporter activity","mitochondrial transport, transmembrane transport",1370
"3818","Sc_g03642: phosphoinositide phospholipase C 2-like","Sc_g03642","","phosphatidylinositol phospholipase C activity"," lipid metabolic process, intracellular signal transduction",1758
"3819","Sc_g03643: uncharacterized protein LOC112284891 isoform X1","Sc_g03643","membrane","","",1164
"3820","Sc_g03644: proteasome subunit beta type-3","Sc_g03644"," nucleus, cytoplasm, proteasome core complex, beta-subunit complex","threonine-type endopeptidase activity"," proteasomal ubiquitin-independent protein catabolic process, proteasome-mediated ubiquitin-dependent protein catabolic process",885
"3821","Sc_g03645: kinesin-like protein KIN-14N","Sc_g03645"," microtubule","microtubule motor activity, ATP binding, microtubule binding"," microtubule-based movement",2831
"3822","Sc_g03646: Tubulin/FtsZ family protein","Sc_g03646"," microtubule, chloroplast thylakoid membrane, chloroplast stroma","GTPase activity, GTP binding, protein self-association"," microtubule-based process, chloroplast fission, cell division",1774
"3823","Sc_g03647: anaphase-promoting complex subunit 8","Sc_g03647"," anaphase-promoting complex","protein binding"," regulation of mitotic metaphase/anaphase transition, regulation of defense response",2021
"3824","Sc_g03648: probable serine/threonine-protein kinase abkC","Sc_g03648","integral component of membrane","","",2228
"3825","Sc_g03649: glycosyltransferase family 64 protein C4-like","Sc_g03649","endosome, trans-Golgi network, integral component of membrane"," transferase activity, transferring glycosyl groups"," protein glycosylation, sphingolipid metabolic process, cell death, response to abscisic acid, phloem or xylem histogenesis, pectic galactan metabolic process, plant-type cell wall cellulose metabolic process",1703
"3826","Sc_g03650: COP9 signalosome complex subunit 1","Sc_g03650"," cytosol, COP9 signalosome","","protein deneddylation, hyperosmotic response, response to absence of light, response to salt stress, embryo development ending in seed dormancy",1305
"3827","Sc_g03651: uncharacterized protein LOC112284549 isoform X2","Sc_g03651"," integral component of membrane","cytochrome-c oxidase activity","",225
"3828","Sc_g03652: pto-interacting protein 1-like","Sc_g03652"," plasma membrane","transmembrane receptor protein serine/threonine kinase activity, protein tyrosine kinase activity, ATP binding"," transmembrane receptor protein serine/threonine kinase signaling pathway, peptidyl-tyrosine phosphorylation",1948
"3829","Sc_g03653: C-type lectin domain-containing protein 180-like isoform X1","Sc_g03653","","","",4116
"3830","Sc_g03654: ---NA---","Sc_g03654","","","",108
"3831","Sc_g03655: cullin-3A-like","Sc_g03655"," cullin-RING ubiquitin ligase complex"," ubiquitin protein ligase binding, ubiquitin protein ligase activity","ubiquitin-dependent protein catabolic process, protein ubiquitination",2973
"3832","Sc_g03656: probable pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH5","Sc_g03656","","nucleotide binding, helicase activity","",3066
"3833","Sc_g03657: protein ABHD17B","Sc_g03657","","hydrolase activity","",1441
"3834","Sc_g03658: importin subunit beta-1","Sc_g03658"," chloroplast, integral component of membrane, nuclear membrane, nuclear periphery"," nuclear localization sequence binding, Ran GTPase binding, protein transporter activity","NLS-bearing protein import into nucleus, ribosomal protein import into nucleus",3390
"3835","Sc_g03659: lysophospholipid acyltransferase LPEAT1 isoform X1","Sc_g03659","membrane, intracellular membrane-bounded organelle"," transferase activity, transferring acyl groups other than amino-acyl groups"," cellular lipid metabolic process",1867
"3836","Sc_g03660: GTP cyclohydrolase 1-like","Sc_g03660"," cytoplasm","GTP cyclohydrolase I activity"," tetrahydrofolate biosynthetic process",1919
"3837","Sc_g03661: WD repeat-containing protein 26-like","Sc_g03661","","protein binding","",2359
"3838","Sc_g03661: WD repeat-containing protein 26-like","Sc_g03661","","protein binding","",2774
"3839","Sc_g03662: ankyrin repeat family protein","Sc_g03662","","nucleic acid binding, protein binding, metal ion binding","",2892
"3840","Sc_g03663: ribosomal rna small subunit methyltransferase h","Sc_g03663","","methyltransferase activity","",1146
"3841","Sc_g03664: TMV resistance protein N-like isoform X1","Sc_g03664","","protein binding, ADP binding"," signal transduction",3036
"3842","Sc_g03665: GDSL esterase/lipase At4g10955 isoform X1","Sc_g03665","","","lipid metabolic process",1080
"3843","Sc_g03666: GDSL esterase/lipase At4g10955-like","Sc_g03666",""," hydrolase activity","lipid metabolic process",2088
"3844","Sc_g03667: S-adenosylmethionine decarboxylase proenzyme-like","Sc_g03667"," cytosol","adenosylmethionine decarboxylase activity"," spermine biosynthetic process, spermidine biosynthetic process",1173
"3845","Sc_g03668: uncharacterized protein LOC112292123","Sc_g03668","","glucosamine 6-phosphate N-acetyltransferase activity"," UDP-N-acetylglucosamine biosynthetic process",399
"3846","Sc_g03669: cyclic nucleotide-gated ion channel 2","Sc_g03669","","","transport",1800
"3847","Sc_g03670: ubiquitin carboxyl-terminal hydrolase 12","Sc_g03670","","protein binding, thiol-dependent ubiquitinyl hydrolase activity"," ubiquitin-dependent protein catabolic process, protein deubiquitination",4120
"3848","Sc_g03671: uncharacterized protein LOC112284399","Sc_g03671","plastid, membrane, integral component of membrane","","",598
"3849","Sc_g03672: adenosine deaminase-like protein","Sc_g03672","","adenosine deaminase activity"," adenosine catabolic process, inosine biosynthetic process",882
"3850","Sc_g03673: kinesin-like protein KIN-4A","Sc_g03673","","microtubule motor activity, ATP binding, microtubule binding"," microtubule-based movement",4287
"3851","Sc_g03674: chloroplast sensor kinase, chloroplastic isoform X1","Sc_g03674","","phosphorelay sensor kinase activity"," signal transduction, phosphorylation",2811
"3852","Sc_g03675: gamma-tubulin complex component 6 isoform X2","Sc_g03675","spindle pole, microtubule organizing center"," gamma-tubulin binding"," microtubule nucleation",4303
"3853","Sc_g03676: lysine-specific demethylase JMJ705","Sc_g03676"," nucleus","nucleic acid binding, histone demethylase activity"," negative regulation of gene expression, epigenetic, negative regulation of long-day photoperiodism, flowering",5169
"3854","Sc_g03677: probable calcium-binding protein CML50","Sc_g03677","","calcium ion binding, chaperone binding","",1517
"3855","Sc_g03678: ubiquitin carboxyl-terminal hydrolase 23","Sc_g03678",""," thiol-dependent ubiquitinyl hydrolase activity","ubiquitin-dependent protein catabolic process, protein deubiquitination",2535
"3856","Sc_g03679: DExH-box ATP-dependent RNA helicase DExH18, mitochondrial","Sc_g03679"," mitochondrial degradosome"," ATP-dependent RNA helicase activity","mitochondrial RNA 3'-end processing, RNA catabolic process",3106
"3857","Sc_g03680: mitochondrial succinate-fumarate transporter 1","Sc_g03680"," integral component of membrane","succinate transmembrane transporter activity"," fumarate transport, succinate transmembrane transport",957
"3858","Sc_g03681: branchpoint-bridging protein","Sc_g03681"," nucleus","RNA binding, zinc ion binding"," RNA splicing, response to abscisic acid",3216
"3859","Sc_g03682: uncharacterized protein LOC112276492","Sc_g03682","","","",432
"3860","Sc_g03683: hypothetical protein PHYPA_025999","Sc_g03683","membrane","","",237
"3861","Sc_g03684: heterogeneous nuclear ribonucleoprotein F-like isoform X3","Sc_g03684","","RNA binding","",2084
"3862","Sc_g03684: heterogeneous nuclear ribonucleoprotein F-like isoform X3","Sc_g03684","","RNA binding","",1880
"3863","Sc_g03685: hypothetical protein PHYPA_024394","Sc_g03685","","","",465
"3864","Sc_g03686: ruBisCO large subunit-binding protein subunit alpha","Sc_g03686"," cytoplasm","ATP binding"," protein refolding",1326
